Width,Height,Mode,Format,SizeBytes,FileSize,FileSizeUnit,ClassId,ClassName,Path
133,115,RGB,PNG,2943,2.87, KB,1,Double bottom,Segmentation/1_0000_00009.png
72,72,RGB,PNG,1423,1.39, KB,0,Double top,Segmentation/0_0000_00029.png
147,148,RGB,PNG,2726,2.66, KB,0,Double top,Segmentation/0_0000_00059.png
115,93,RGB,PNG,2339,2.28, KB,1,Double bottom,Segmentation/1_0000_00041.png
151,155,RGB,PNG,2965,2.90, KB,1,Double bottom,Segmentation/1_0000_00067.png
90,123,RGB,PNG,2179,2.13, KB,0,Double top,Segmentation/0_0000_00039.png
63,141,RGB,PNG,1991,1.94, KB,0,Double top,Segmentation/0_0000_00001.png
76,62,RGB,PNG,1534,1.50, KB,1,Double bottom,Segmentation/1_00003.png
89,141,RGB,PNG,2050,2.00, KB,0,Double top,Segmentation/0_0000_00099.png
62,54,RGB,PNG,1430,1.40, KB,0,Double top,Segmentation/0_0000_00091.png
126,113,RGB,PNG,2576,2.52, KB,0,Double top,Segmentation/0_0000_00108.png
61,73,RGB,PNG,1150,1.12, KB,0,Double top,Segmentation/0_0000_00052.png
94,53,RGB,PNG,2042,1.99, KB,1,Double bottom,Segmentation/1_0000_00049.png
75,85,RGB,PNG,1792,1.75, KB,1,Double bottom,Segmentation/1_0000_00024.png
66,104,RGB,PNG,2089,2.04, KB,1,Double bottom,Segmentation/1_0000_00111.png
51,51,RGB,PNG,810,810.00, B,1,Double bottom,Segmentation/1_0000_00037.png
104,76,RGB,PNG,1896,1.85, KB,1,Double bottom,Segmentation/1_00005.png
65,105,RGB,PNG,1753,1.71, KB,0,Double top,Segmentation/0_0000_00081.png
90,95,RGB,PNG,1799,1.76, KB,1,Double bottom,Segmentation/1_0000_00035.png
91,126,RGB,PNG,2301,2.25, KB,1,Double bottom,Segmentation/1_0000_00106.png
58,131,RGB,PNG,1785,1.74, KB,1,Double bottom,Segmentation/1_00004.png
62,59,RGB,PNG,1698,1.66, KB,1,Double bottom,Segmentation/1_0000_00102.png
74,82,RGB,PNG,1526,1.49, KB,1,Double bottom,Segmentation/1_0000_00039.png
114,104,RGB,PNG,2327,2.27, KB,1,Double bottom,Segmentation/1_00012.png
60,160,RGB,PNG,2000,1.95, KB,0,Double top,Segmentation/0_0000_00035.png
112,109,RGB,PNG,2424,2.37, KB,1,Double bottom,Segmentation/1_0000_00108.png
79,83,RGB,PNG,549,549.00, B,0,Double top,Segmentation/0_00033.png
99,91,RGB,PNG,2278,2.22, KB,1,Double bottom,Segmentation/1_0000_00098.png
77,92,RGB,PNG,1440,1.41, KB,1,Double bottom,Segmentation/1_0000_00014.png
54,79,RGB,PNG,1340,1.31, KB,1,Double bottom,Segmentation/1_0000_00029.png
83,189,RGB,PNG,2514,2.46, KB,1,Double bottom,Segmentation/1_00019.png
92,75,RGB,PNG,1496,1.46, KB,0,Double top,Segmentation/0_0000_00096.png
68,62,RGB,PNG,1409,1.38, KB,1,Double bottom,Segmentation/1_0000_00059.png
65,91,RGB,PNG,1855,1.81, KB,1,Double bottom,Segmentation/1_00017.png
197,133,RGB,PNG,3577,3.49, KB,1,Double bottom,Segmentation/1_0000_00078.png
93,112,RGB,PNG,1910,1.87, KB,0,Double top,Segmentation/0_0000_00119.png
89,64,RGB,PNG,1598,1.56, KB,1,Double bottom,Segmentation/1_0000_00080.png
59,76,RGB,PNG,1514,1.48, KB,0,Double top,Segmentation/0_0000_00134.png
57,63,RGB,PNG,1519,1.48, KB,1,Double bottom,Segmentation/1_0000_00062.png
194,157,RGB,PNG,3373,3.29, KB,1,Double bottom,Segmentation/1_0000_00031.png
145,201,RGB,PNG,4340,4.24, KB,1,Double bottom,Segmentation/1_00029.png
121,100,RGB,PNG,2114,2.06, KB,0,Double top,Segmentation/0_0000_00126.png
82,79,RGB,PNG,1512,1.48, KB,0,Double top,Segmentation/0_0000_00018.png
169,185,RGB,PNG,3351,3.27, KB,1,Double bottom,Segmentation/1_0000_00052.png
148,116,RGB,PNG,2955,2.89, KB,1,Double bottom,Segmentation/1_0000_00104.png
69,122,RGB,PNG,1758,1.72, KB,1,Double bottom,Segmentation/1_0000_00005.png
110,177,RGB,PNG,2785,2.72, KB,0,Double top,Segmentation/0_0000_00090.png
91,109,RGB,PNG,1795,1.75, KB,0,Double top,Segmentation/0_0000_00071.png
185,126,RGB,PNG,1166,1.14, KB,0,Double top,Segmentation/0_00005.png
88,178,RGB,PNG,2905,2.84, KB,0,Double top,Segmentation/0_0000_00009.png
91,132,RGB,PNG,2392,2.34, KB,0,Double top,Segmentation/0_0000_00032.png
63,99,RGB,PNG,727,727.00, B,0,Double top,Segmentation/0_00030.png
106,119,RGB,PNG,999,999.00, B,0,Double top,Segmentation/0_00004.png
141,219,RGB,PNG,3642,3.56, KB,1,Double bottom,Segmentation/1_0000_00079.png
101,89,RGB,PNG,1939,1.89, KB,0,Double top,Segmentation/0_0000_00115.png
86,147,RGB,PNG,2246,2.19, KB,1,Double bottom,Segmentation/1_0000_00093.png
129,110,RGB,PNG,880,880.00, B,0,Double top,Segmentation/0_00001.png
100,105,RGB,PNG,1846,1.80, KB,1,Double bottom,Segmentation/1_00034.png
75,60,RGB,PNG,1356,1.32, KB,1,Double bottom,Segmentation/1_0000_00010.png
65,59,RGB,PNG,1162,1.13, KB,0,Double top,Segmentation/0_0000_00058.png
102,125,RGB,PNG,2331,2.28, KB,0,Double top,Segmentation/0_0000_00098.png
75,90,RGB,PNG,1858,1.81, KB,1,Double bottom,Segmentation/1_00011.png
53,58,RGB,PNG,1348,1.32, KB,1,Double bottom,Segmentation/1_0000_00044.png
101,132,RGB,PNG,2217,2.17, KB,1,Double bottom,Segmentation/1_0000_00075.png
126,108,RGB,PNG,1861,1.82, KB,1,Double bottom,Segmentation/1_0000_00073.png
51,101,RGB,PNG,1429,1.40, KB,0,Double top,Segmentation/0_0000_00129.png
91,92,RGB,PNG,2071,2.02, KB,1,Double bottom,Segmentation/1_00002.png
52,56,RGB,PNG,1169,1.14, KB,1,Double bottom,Segmentation/1_0000_00020.png
141,116,RGB,PNG,2312,2.26, KB,1,Double bottom,Segmentation/1_0000_00070.png
67,70,RGB,PNG,1183,1.16, KB,0,Double top,Segmentation/0_0000_00026.png
63,56,RGB,PNG,1438,1.40, KB,1,Double bottom,Segmentation/1_0000_00004.png
58,94,RGB,PNG,1741,1.70, KB,1,Double bottom,Segmentation/1_0000_00110.png
199,167,RGB,PNG,3318,3.24, KB,1,Double bottom,Segmentation/1_0000_00042.png
59,130,RGB,PNG,833,833.00, B,0,Double top,Segmentation/0_00023.png
71,81,RGB,PNG,1654,1.62, KB,1,Double bottom,Segmentation/1_0000_00121.png
70,87,RGB,PNG,1483,1.45, KB,1,Double bottom,Segmentation/1_0000_00107.png
321,287,RGB,PNG,6759,6.60, KB,0,Double top,Segmentation/0_0000_00048.png
241,233,RGB,PNG,4275,4.17, KB,1,Double bottom,Segmentation/1_0000_00032.png
121,166,RGB,PNG,3230,3.15, KB,1,Double bottom,Segmentation/1_0000_00089.png
80,53,RGB,PNG,1678,1.64, KB,1,Double bottom,Segmentation/1_0000_00127.png
85,96,RGB,PNG,1623,1.58, KB,0,Double top,Segmentation/0_0000_00020.png
76,128,RGB,PNG,1871,1.83, KB,1,Double bottom,Segmentation/1_0000_00047.png
62,133,RGB,PNG,1952,1.91, KB,0,Double top,Segmentation/0_0000_00010.png
84,63,RGB,PNG,1374,1.34, KB,0,Double top,Segmentation/0_0000_00084.png
66,56,RGB,PNG,1034,1.01, KB,0,Double top,Segmentation/0_0000_00028.png
73,60,RGB,PNG,1459,1.42, KB,1,Double bottom,Segmentation/1_0000_00132.png
256,282,RGB,PNG,5699,5.57, KB,1,Double bottom,Segmentation/1_00023.png
72,72,RGB,PNG,1454,1.42, KB,0,Double top,Segmentation/0_0000_00033.png
237,239,RGB,PNG,4681,4.57, KB,0,Double top,Segmentation/0_0000_00027.png
69,122,RGB,PNG,1731,1.69, KB,0,Double top,Segmentation/0_0000_00094.png
68,63,RGB,PNG,1386,1.35, KB,1,Double bottom,Segmentation/1_0000_00016.png
56,120,RGB,PNG,1695,1.66, KB,1,Double bottom,Segmentation/1_00025.png
127,96,RGB,PNG,869,869.00, B,0,Double top,Segmentation/0_00014.png
85,118,RGB,PNG,1970,1.92, KB,0,Double top,Segmentation/0_0000_00042.png
59,93,RGB,PNG,1358,1.33, KB,1,Double bottom,Segmentation/1_0000_00023.png
176,134,RGB,PNG,2626,2.56, KB,0,Double top,Segmentation/0_0000_00050.png
